Date : 2022-12-30 21:56:24
Directory : /Users/juanma/development/flutter/release-untitled-startup/untitled_server
Total : 194 files,  19966 codes, 754 comments, 1653 blanks, all 22373 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/likeNotification.js                    | JavaScript         |         31 |          1 |          0 |         32 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/notification.js                        | JavaScript         |        373 |          1 |          0 |        374 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/post.js                                | JavaScript         |        587 |          1 |         20 |        608 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/reply.js                               | JavaScript         |        272 |          1 |          0 |        273 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/user.js                                | JavaScript         |        800 |          1 |         12 |        813 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/userSearch.js                          | JavaScript         |        100 |          1 |          0 |        101 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/videogame.js                           | JavaScript         |        108 |          1 |          0 |        109 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/captionTagSubscription.js            | JavaScript         |        108 |          1 |          0 |        109 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/commentSubscription.js               | JavaScript         |        114 |          1 |          0 |        115 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/commentTagSubscription.js            | JavaScript         |        108 |          1 |          0 |        109 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/followSubscription.js                | JavaScript         |        118 |          1 |          0 |        119 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/likeCommentSubscription.js           | JavaScript         |        113 |          1 |          0 |        114 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/likeReplySubscription.js             | JavaScript         |        124 |          1 |          0 |        125 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/likeSubscription.js                  | JavaScript         |        113 |          1 |          0 |        114 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/notificationSubscriptions.js         | JavaScript         |          0 |          1 |          0 |          1 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/postSubscription.js                  | JavaScript         |         20 |          1 |          0 |         21 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/postViewSubscription.js              | JavaScript         |         42 |          1 |          0 |         43 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/replySubscription.js                 | JavaScript         |        114 |          1 |          0 |        115 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/replyTagSubscription.js              | JavaScript         |        108 |          1 |          0 |        109 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/replyTagSubscroption.js              | JavaScript         |        106 |          1 |          0 |        107 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/userSearchSubscription.js            | JavaScript         |         43 |          1 |          0 |         44 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/PlatformEndpointActions.js             | JavaScript         |         44 |          1 |          0 |         45 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/createAplicationEndpoint.js            | JavaScript         |         29 |          1 |          0 |         30 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/createEndpoint.js                      | JavaScript         |         29 |          1 |          0 |         30 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/createPlatformEndpoint.js              | JavaScript         |         28 |          1 |          0 |         29 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/publishNotification.js                 | JavaScript         |         37 |          1 |          0 |         38 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/uploadToBucket.js                      | JavaScript         |         38 |          1 |          0 |         39 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/cloudfrontKeys.js                          | JavaScript         |         39 |          1 |          0 |         40 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/comment/commentInput.js                    | JavaScript         |        109 |          1 |          0 |        110 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/comment/commentUserTagsDataLoader.js       | JavaScript         |         49 |          1 |          0 |         50 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/cron/cronDeviceTokenFunc.js                | JavaScript         |         92 |          1 |          0 |         93 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/createTokens.js                     | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/elasticClient.js                    | JavaScript         |          7 |          1 |          0 |          8 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/fileType.js                         | JavaScript         |          0 |          1 |          0 |          1 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/getFileBuffer.js                    | JavaScript         |         31 |          1 |          0 |         32 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/globalInput.js                      | JavaScript         |         83 |          1 |          0 |         84 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/sendEmail.js                        | JavaScript         |         43 |          1 |          0 |         44 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/global/uploadImage.js                      | JavaScript         |         35 |          1 |          0 |         36 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/like/fetchLikesDataLoader.js               | JavaScript         |          0 |          1 |          0 |          1 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/like/likeDataLoader.js                     | JavaScript         |         46 |          1 |          0 |         47 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/like/likeProcess.js                        | JavaScript         |          2 |          1 |          0 |          3 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/main/getUser.js                            | JavaScript         |         62 |          1 |          0 |         63 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/notification/likeNotificationDataLoader.js | JavaScript         |          2 |          1 |          0 |          3 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/notification/notificationInput.js          | JavaScript         |         28 |          1 |          0 |         29 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/post/captionUserTagsDataLoader.js          | JavaScript         |         33 |          1 |          0 |         34 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/post/fileDataLoader.js                     | JavaScript         |         54 |          1 |          0 |         55 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/post/postInput.js                          | JavaScript         |         86 |          1 |          0 |         87 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/post/validateInput.js                      | JavaScript         |         29 |          1 |          0 |         30 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/subscriberUtils/afterActionFunction.js     | JavaScript         |         73 |          1 |          0 |         74 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/user/changePassword.js                     | JavaScript         |         52 |          1 |          0 |         53 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/user/checkBlackList.js                     | JavaScript         |         30 |          1 |          0 |         31 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/user/createElasticUser.js                  | JavaScript         |        145 |          1 |          0 |        146 |
